STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2023,,730,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_AE_OMDB,AMSTERDAM/SCHIPHOL airport - DUBAI INTERNATIONAL airport,2023,,2777,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_AN_TNCC,AMSTERDAM/SCHIPHOL airport - CURACAO/AEROPUERTO HATO airport,2023,,1851,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_AN_TNCM,AMSTERDAM/SCHIPHOL airport - ST. MAARTEN/PRINCESS JULIANA airport,2023,,331,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2023,,362,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_AT_LOWW,AMSTERDAM/SCHIPHOL airport - WIEN-SCHWECHAT airport,2023,,5328,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_AW_TNCA,AMSTERDAM/SCHIPHOL airport - ORANJESTAD/BEATRIX airport,2023,,948,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_BE_EBBR,AMSTERDAM/SCHIPHOL airport - BRUSSELS airport,2023,,2572,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_BG_LBSF,AMSTERDAM/SCHIPHOL airport - SOFIA airport,2023,,720,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_BR_SBGL,"AMSTERDAM/SCHIPHOL airport - RIO DE JANEIRO/GALEAO-ANTONIO CARLOS JOBIM, RJ airport",2023,,671,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_BR_SBGR,"AMSTERDAM/SCHIPHOL airport - SAO PAULO/GUARULHOS, GOVERNADOR ANDRE FRANCO MONTORO, SP airport",2023,,717,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_CA_CYEG,"AMSTERDAM/SCHIPHOL airport - EDMONTON INTL, AB airport",2023,,354,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_CA_CYUL,"AMSTERDAM/SCHIPHOL airport - MONTREAL/PIERRE ELLIOT TRUDEAU INTL, QC airport",2023,,749,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_CA_CYVR,"AMSTERDAM/SCHIPHOL airport - VANCOUVER INTL, BC airport",2023,,554,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_CA_CYYC,"AMSTERDAM/SCHIPHOL airport - CALGARY INTL, AB airport",2023,,779,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_CA_CYYZ,"AMSTERDAM/SCHIPHOL airport - TORONTO/LESTER B. PEARSON INTL, ON airport",2023,,1971,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_CH_LFSB,AMSTERDAM/SCHIPHOL airport - BALE-MULHOUSE airport,2023,,3409,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_CH_LSGG,AMSTERDAM/SCHIPHOL airport - GENEVA airport,2023,,5260,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_CH_LSZH,AMSTERDAM/SCHIPHOL airport - ZURICH airport,2023,,6618,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_CL_SCEL,AMSTERDAM/SCHIPHOL airport - SANTIAGO/AP ARTURO MERINO BENITEZ airport,2023,,360,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_CN_ZBAA,AMSTERDAM/SCHIPHOL airport - BEIJING/CAPITAL airport,2023,,521,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_CN_ZGGG,AMSTERDAM/SCHIPHOL airport - GUANGZHOU/BAIYUN airport,2023,,360,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_CN_ZSAM,AMSTERDAM/SCHIPHOL airport - XIAMEN/GAOQI airport,2023,,288,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_CN_ZSPD,AMSTERDAM/SCHIPHOL airport - SHANGHAI/PUDONG airport,2023,,883,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_CO_SKBO,AMSTERDAM/SCHIPHOL airport - BOGOTA INTL/CUNDINAMARCA airport,2023,,724,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_CZ_LKPR,AMSTERDAM/SCHIPHOL airport - PRAHA/RUZYNE airport,2023,,4024,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_DE_EDDB,AMSTERDAM/SCHIPHOL airport - BERLIN-BRANDENBURG airport,2023,,6134,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_DE_EDDF,AMSTERDAM/SCHIPHOL airport - FRANKFURT/MAIN airport,2023,,7193,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_DE_EDDH,AMSTERDAM/SCHIPHOL airport - HAMBURG airport,2023,,3730,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_DE_EDDL,AMSTERDAM/SCHIPHOL airport - DUESSELDORF airport,2023,,3151,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_DE_EDDM,AMSTERDAM/SCHIPHOL airport - MUENCHEN airport,2023,,7200,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_DE_EDDN,AMSTERDAM/SCHIPHOL airport - NUERNBERG airport,2023,,2220,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_DE_EDDS,AMSTERDAM/SCHIPHOL airport - STUTTGART airport,2023,,3429,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_DE_EDDV,AMSTERDAM/SCHIPHOL airport - HANNOVER airport,2023,,2263,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_DE_EDDW,AMSTERDAM/SCHIPHOL airport - BREMEN airport,2023,,2021,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_DK_EKBI,AMSTERDAM/SCHIPHOL airport - BILLUND airport,2023,,3121,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_DK_EKCH,AMSTERDAM/SCHIPHOL airport - KOBENHAVN/KASTRUP airport,2023,,9454,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_DK_EKYT,AMSTERDAM/SCHIPHOL airport - AALBORG airport,2023,,2289,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_EC_SEQM,AMSTERDAM/SCHIPHOL airport - QUITO/MARISCAL SUCRE INTL airport,2023,,628,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_EE_EETN,AMSTERDAM/SCHIPHOL airport - LENNART MERI TALLINN airport,2023,,782,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_EG_HECA,AMSTERDAM/SCHIPHOL airport - CAIRO/INTL airport,2023,,731,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_EG_HEGN,AMSTERDAM/SCHIPHOL airport - HURGHADA / INTL airport,2023,,827,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_EL_LGAV,AMSTERDAM/SCHIPHOL airport - ATHINAI/ELEFTHERIOS VENIZELOS airport,2023,,3035,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_EL_LGIR,AMSTERDAM/SCHIPHOL airport - IRAKLION/NIKOS KAZANTZAKIS airport,2023,,1376,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_EL_LGKO,AMSTERDAM/SCHIPHOL airport - KOS/IPPOKRATIS airport,2023,,803,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_EL_LGPZ,AMSTERDAM/SCHIPHOL airport - PREVEZA/AKTION airport,2023,,520,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_EL_LGRP,AMSTERDAM/SCHIPHOL airport - RODOS/DIAGORAS airport,2023,,754,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_EL_LGTS,AMSTERDAM/SCHIPHOL airport - THESSALONIKI/MAKEDONIA airport,2023,,716,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_EL_LGZA,AMSTERDAM/SCHIPHOL airport - ZAKINTHOS/DIONISIOS SOLOMOS airport,2023,,1082,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_ES_GCFV,AMSTERDAM/SCHIPHOL airport - FUERTEVENTURA airport,2023,,541,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_ES_GCLP,AMSTERDAM/SCHIPHOL airport - GRAN CANARIA airport,2023,,1845,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_ES_GCRR,AMSTERDAM/SCHIPHOL airport - LANZAROTE airport,2023,,632,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_ES_GCTS,AMSTERDAM/SCHIPHOL airport - TENERIFE SUR/REINA SOFIA airport,2023,,1466,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_ES_LEAL,AMSTERDAM/SCHIPHOL airport - ALICANTE airport,2023,,3194,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_ES_LEBB,AMSTERDAM/SCHIPHOL airport - BILBAO airport,2023,,2143,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_ES_LEBL,AMSTERDAM/SCHIPHOL airport - BARCELONA/EL PRAT airport,2023,,8896,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_ES_LEIB,AMSTERDAM/SCHIPHOL airport - IBIZA airport,2023,,2014,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_ES_LEMD,AMSTERDAM/SCHIPHOL airport - ADOLFO SUAREZ MADRID-BARAJAS airport,2023,,6135,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_ES_LEMG,AMSTERDAM/SCHIPHOL airport - MALAGA/COSTA DEL SOL airport,2023,,4591,,,,,
