airport_code,airport_name,city,country,latitude,longitude,distance_from_ams,klm_departures,klm_arrivals,klm_total_flights,route_diversity,delay_rate,delay_count,total_tracked_flights
BKK,SUVARNABHUMI INTERNATIONAL AIRPORT,BANGKOK,THAILAND,13.6858,100.7489,9207.006579702922,1.0,1.0,2.0,2,0.0,0,2
TUS,TUCSON INTERNATIONAL AIRPORT,TUCSON,UNITED STATES,32.125,-110.9492,8750.018046460778,1.0,2.0,3.0,2,1.0,3,3
MLB,MELBOURNE INTERNATIONAL AIRPORT,MELBOURNE,UNITED STATES,28.1025,-80.6303,7274.00938893571,1.0,1.0,2.0,1,1.0,2,2
OMA,EPPLEY AIRFIELD,OMAHA,UNITED STATES,41.3025,-95.8942,7123.998996538575,1.0,1.0,2.0,2,0.5,1,2
GSO,PIEDMONT TRIAD INTERNATIONAL AIRPORT,GREENSBORO/HIGH POINT,UNITED STATES,36.0919,-79.9428,6585.355544933463,1.0,2.0,3.0,1,1.0,3,3
SAN,SAN DIEGO INTERNATIONAL AIRPORT,SAN DIEGO,UNITED STATES,32.7328,-117.1872,9011.722138043095,4.0,5.0,9.0,4,0.5555555555555556,5,9
SJC,SAN JOSE INTERNATIONAL AIRPORT,SAN JOSE,UNITED STATES,37.3611,-121.9256,8790.870640801586,2.0,3.0,5.0,2,0.6,3,5
AMS,SCHIPHOL AIRPORT,AMSTERDAM,NETHERLANDS,52.3083,4.7681,0.0,5.0,1.0,6.0,6,0.16666666666666666,1,6
ORF,NORFOLK INTERNATIONAL AIRPORT,NORFOLK,UNITED STATES,36.8958,-76.2014,6283.405975649079,1.0,0.0,1.0,1,0.0,0,1
MRS,PROVENCE AIRPORT,MARSEILLE,FRANCE,43.4356,5.2164,987.1618080431457,1.0,1.0,2.0,2,0.0,0,2
LWS,NEZ PERCE COUNTY AIRPORT,LEWISTON,UNITED STATES,46.3747,-117.0144,7725.219025492354,1.0,1.0,2.0,1,0.0,0,2
TPA,TAMPA INTERNATIONAL AIRPORT,TAMPA,UNITED STATES,27.9731,-82.5353,7409.569093447613,5.0,4.0,9.0,3,0.6666666666666666,6,9
BOS,EDWARD L. LOGAN INTERNATIONAL AIRPORT,BOSTON,UNITED STATES,42.365,-71.0053,5547.597657404642,11.0,8.0,19.0,10,0.3157894736842105,6,19
SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,47.4472,-122.3056,7840.240090199474,13.0,18.0,31.0,16,0.6451612903225806,20,31
DAL,LOVE FIELD,DALLAS,UNITED STATES,32.8469,-96.8533,7893.755923243684,1.0,1.0,2.0,1,1.0,2,2
SAV,HILTON HEAD INTERNATIONAL AIRPORT,SAVANNAH,UNITED STATES,32.1272,-81.1994,6982.088958189783,1.0,0.0,1.0,1,1.0,1,1
PSP,PALM SPRINGS INTERNATIONAL AIRPORT,PALM SPRINGS,UNITED STATES,33.8267,-116.505,8874.940734062156,1.0,1.0,2.0,1,0.0,0,2
VPS,FT. WALTON BEACH AIRPORT,DESTIN/FT WALTON BEACH,UNITED STATES,30.4894,-86.5272,7458.000549174578,2.0,2.0,4.0,1,1.0,4,4
HOU,HOBBY AIRPORT,HOUSTON,UNITED STATES,29.645,-95.2786,8075.022783340951,1.0,1.0,2.0,1,1.0,2,2
BUR,BOB HOPE AIRPORT,BURBANK,UNITED STATES,34.2,-118.3578,8929.316216864647,1.0,1.0,2.0,1,0.0,0,2
AUS,AUSTIN-BERGSTROM INTERNATIONAL AIRPORT,AUSTIN,UNITED STATES,30.2,-97.6667,8171.212301669335,1.0,1.0,2.0,1,0.0,0,2
PHX,SKY HARBOR INTERNATIONAL AIRPORT,PHOENIX,UNITED STATES,33.4353,-112.0119,8684.902091223319,8.0,7.0,15.0,4,0.26666666666666666,4,15
MKE,GENERAL MITCHELL INTERNATIONAL AIRPORT,MILWAUKEE,UNITED STATES,42.9503,-87.8972,6535.782993241053,1.0,1.0,2.0,1,0.0,0,2
ONT,ONTARIO INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,34.0572,-117.6081,8906.852463716676,1.0,1.0,2.0,1,1.0,2,2
FAI,FAIRBANKS INTERNATIONAL AIRPORT,FAIRBANKS,UNITED STATES,64.8144,-147.8628,6781.352384689274,1.0,1.0,2.0,1,1.0,2,2
MIA,MIAMI INTERNATIONAL AIRPORT,MIAMI,UNITED STATES,25.7925,-80.2861,7442.872409927397,5.0,3.0,8.0,4,0.625,5,8
LAS,HARRY REID INTL,LAS VEGAS,UNITED STATES,36.08,-115.1522,8597.378787137604,6.0,5.0,11.0,4,0.6363636363636364,7,11
DPS,NGURAH RAI AIRPORT,DENPASAR-BALI,INDONESIA,-8.7486,115.165,12156.691556894775,0.0,1.0,1.0,1,0.0,0,1
ROA,ROANOKE REGIONAL (WOODRUM FLD) AIRPORT,ROANOKE,UNITED STATES,37.3247,-79.9764,6491.20316343827,1.0,0.0,1.0,1,0.0,0,1
CHS,CHARLESTON INTERNATIONAL AIRFORCE BASE,CHARLESTON,UNITED STATES,32.8992,-80.0389,6844.896934407131,1.0,1.0,2.0,2,1.0,2,2
ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,7065.687978049081,48.0,56.0,104.0,49,0.5673076923076923,59,104
SNA,JOHN WAYNE AIRPORT,SANTA ANA,UNITED STATES,33.6756,-117.8669,8955.515499443265,4.0,3.0,7.0,2,0.2857142857142857,2,7
PNS,PENSACOLA INTERNATIONAL AIRPORT,PENSACOLA,UNITED STATES,30.4725,-87.1883,7501.387541242672,1.0,1.0,2.0,1,1.0,2,2
MCI,KANSAS CITY INTERNATIONAL AIRPORT,KANSAS CITY,UNITED STATES,39.2928,-94.7267,7224.508433343473,2.0,3.0,5.0,3,0.6,3,5
GRR,GERALD R. FORD INTERNATIONAL AIRPORT,GRAND RAPIDS,UNITED STATES,42.8811,-85.5242,6402.1275171346015,0.0,1.0,1.0,1,1.0,1,1
DAB,DAYTONA BEACH INTERNATIONAL AIRPORT,DAYTONA BEACH,UNITED STATES,29.1825,-81.0528,7212.763673774548,0.0,1.0,1.0,1,1.0,1,1
SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SALT LAKE CITY,UNITED STATES,40.7842,-111.9669,8008.629932760667,31.0,33.0,64.0,20,0.40625,26,64
PIT,PITTSBURGH INTERNATIONAL AIRPORT,PITTSBURGH,UNITED STATES,40.4967,-80.2358,6263.896445633839,1.0,0.0,1.0,1,0.0,0,1
SCL,ARTURO MERINO BENITEZ AIRPORT,SANTIAGO,CHILE,-33.3833,-70.7833,12002.427312038586,0.0,1.0,1.0,1,0.0,0,1
YVR,VANCOUVER INTERNATIONAL AIRPORT,VANCOUVER,CANADA,49.1872,-123.1853,7708.1419951444195,1.0,1.0,2.0,2,1.0,2,2
EYW,KEY WEST INTERNATIONAL AIRPORT,KEY WEST,UNITED STATES,24.5561,-81.7597,7643.983950042294,1.0,1.0,2.0,1,0.0,0,2
SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,37.6194,-122.3728,8785.608155747957,10.0,7.0,17.0,6,0.6470588235294118,11,17
DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,6323.122112788339,23.0,21.0,44.0,20,0.6818181818181818,30,44
FLL,FORT LAUDERDALE INTERNATIONAL AIRPORT,FORT LAUDERDALE,UNITED STATES,26.0742,-80.1517,7410.508253803893,4.0,5.0,9.0,2,0.5555555555555556,5,9
LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,33.9422,-118.4072,8956.179081694592,16.0,15.0,31.0,16,0.6129032258064516,19,31
MEM,MEMPHIS INTERNATIONAL AIRPORT,MEMPHIS,UNITED STATES,35.0497,-89.9789,7295.003770278808,2.0,2.0,4.0,1,0.5,2,4
CDG,CHARLES DE GAULLE AIRPORT,PARIS,FRANCE,49.0097,2.5486,398.71343363011994,1.0,1.0,2.0,1,0.0,0,2
BUF,BUFFALO NIAGARA INTERNATIONAL AIRPORT,BUFFALO,UNITED STATES,42.9411,-78.7364,5989.350415809382,1.0,2.0,3.0,2,1.0,3,3
IAH,GEORGE BUSH INTERCONTINENTAL AIRPORT,HOUSTON,UNITED STATES,29.9833,-95.34,8049.584120149938,4.0,4.0,8.0,4,0.875,7,8
OGG,KAHULUI AIRPORT,KAHULUI,UNITED STATES,20.9006,-156.4336,11672.822728160456,2.0,1.0,3.0,1,0.3333333333333333,1,3
BON,FLAMINGO INTERNATIONAL AIRPORT,BONAIRE,BONAIRE ST EUSTATIUS SABA,12.1342,-68.2733,7792.683535292856,1.0,1.0,2.0,2,0.0,0,2
CLE,HOPKINS INTERNATIONAL AIRPORT,CLEVELAND,UNITED STATES,41.4119,-81.8481,6293.552205954459,1.0,1.0,2.0,1,1.0,2,2
PBI,PALM BEACH INTERNATIONAL AIRPORT,WEST PALM BEACH,UNITED STATES,26.6822,-80.0942,7356.184208333359,1.0,1.0,2.0,1,1.0,2,2
GNV,GAINESVILLE REGIONAL AIRPORT,GAINESVILLE,UNITED STATES,29.6897,-82.2758,7250.772582929781,1.0,1.0,2.0,1,0.0,0,2
DZA,PAMANDZI INTERNATIONAL AIRPORT,DZAOUDZI,MAYOTTE,-12.7833,45.2833,8211.403896704729,1.0,0.0,1.0,1,0.0,0,1
BOI,BOISE AIR TERMINAL (GOWEN FIELD),BOISE,UNITED STATES,43.5653,-116.225,7950.9554552814225,2.0,2.0,4.0,1,1.0,4,4
SMF,SACRAMENTO INTERNATIONAL AIRPORT,SACRAMENTO,UNITED STATES,38.6956,-121.5983,8648.115185561806,1.0,1.0,2.0,1,0.0,0,2
MFR,ROGUE VALLEY INTERNATIONAL AIRPORT,MEDFORD,UNITED STATES,42.3736,-122.8722,8348.55520036929,1.0,1.0,2.0,1,0.0,0,2
LHR,HEATHROW AIRPORT,LONDON,UNITED KINGDOM,51.4714,-0.4528,370.08938865395686,1.0,1.0,2.0,2,0.0,0,2
BDL,BRADLEY INTERNATIONAL AIRPORT,HARTFORD,UNITED STATES,41.9386,-72.6833,5684.423882443869,1.0,2.0,3.0,2,1.0,3,3
CAE,COLUMBIA METROPOLITAN AIRPORT,COLUMBIA,UNITED STATES,33.9364,-81.1158,6831.107605070806,1.0,0.0,1.0,1,1.0,1,1
GEG,SPOKANE INTERNATIONAL AIRPORT,SPOKANE,UNITED STATES,47.6169,-117.5372,7632.3131311300185,1.0,1.0,2.0,1,1.0,2,2
CGK,SOEKARNO-HATTA INTERNATIONAL AIRPORT,JAKARTA,INDONESIA,-6.1167,106.65,11352.164047174356,0.0,1.0,1.0,1,0.0,0,1
ORY,ORLY AIRPORT,PARIS,FRANCE,48.7289,2.3572,432.91301638955565,2.0,0.0,2.0,2,0.0,0,2
PPT,FAAA INTERNATIONAL AIRPORT,TAHITI,FRENCH POLYNESIA,-17.5472,-149.6139,15549.351600781783,1.0,2.0,3.0,2,0.0,0,3
CAN,BAIYUN INTERNATIONAL AIRPORT,GUANGZHOU,CHINA,23.1833,113.2661,9156.41336480229,0.0,1.0,1.0,1,0.0,0,1
EZE,MINISTRO PISTARINI AIRPORT,BUENOS AIRES,ARGENTINA,-34.82,-58.5339,11462.074042372904,1.0,1.0,2.0,2,0.0,0,2
STL,LAMBERT-ST. LOUIS INTERNATIONAL AIRPORT,SAINT LOUIS,UNITED STATES,38.7472,-90.3644,7015.142905269958,3.0,2.0,5.0,2,0.4,2,5
AVL,ASHEVILLE REGIONAL AIRPORT,ASHEVILLE/HENDERSONV.,UNITED STATES,35.435,-82.5411,6802.09065995673,2.0,2.0,4.0,1,0.5,2,4
FAT,YOSEMITE INTERNATIONAL AIRPORT,FRESNO,UNITED STATES,36.7711,-119.7136,8747.975802849456,1.0,1.0,2.0,1,0.0,0,2
LIT,LITTLE ROCK CLINTON NATIONAL AIRPORT,LITTLE ROCK,UNITED STATES,34.7292,-92.2344,7458.248810960688,0.0,1.0,1.0,1,0.0,0,1
LEX,BLUE GRASS AIRPORT,LEXINGTON,UNITED STATES,38.0397,-84.6022,6723.781569565751,1.0,1.0,2.0,1,0.0,0,2
BTR,RYAN AIRPORT,BATON ROUGE,UNITED STATES,30.5317,-91.1506,7745.152679938177,1.0,0.0,1.0,1,1.0,1,1
FCA,GLACIER PARK INTERNATIONAL AIRPORT,KALISPELL,UNITED STATES,48.3128,-114.2511,7429.611992303304,2.0,1.0,3.0,2,0.0,0,3
ANC,ANCHORAGE TED STEVENS INTERNATIONAL,ANCHORAGE,UNITED STATES,61.1692,-149.9853,7200.001593823132,1.0,1.0,2.0,1,0.0,0,2
NBO,JOMO KENYATTA INTERNATIONAL AIRPORT,NAIROBI,KENYA,-1.3167,36.9308,6677.110885446875,1.0,0.0,1.0,1,0.0,0,1
JFK,JOHN F. KENNEDY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,40.6386,-73.7769,5847.771260185523,8.0,13.0,21.0,11,0.7619047619047619,16,21
CLT,DOUGLAS INTERNATIONAL AIRPORT,CHARLOTTE,UNITED STATES,35.2192,-80.9358,6717.42704380742,1.0,1.0,2.0,1,0.0,0,2
SAT,SAN ANTONIO INTERNATIONAL AIRPORT,SAN ANTONIO,UNITED STATES,29.5383,-98.4719,8277.083763074786,2.0,1.0,3.0,2,0.6666666666666666,2,3
DFW,DALLAS/FT. WORTH INTERNATIONAL AIRPORT,DALLAS,UNITED STATES,32.8944,-97.0297,7900.097722008889,2.0,1.0,3.0,1,0.0,0,3
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,CHINESE TAIPEI,25.0711,121.5436,9460.092056892081,1.0,1.0,2.0,2,1.0,2,2
RSW,SOUTHWEST FLORIDA INTERNATIONAL AIRPORT,FORT MYERS,UNITED STATES,26.5333,-81.75,7477.839663053131,1.0,1.0,2.0,1,1.0,2,2
ORD,O HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,41.9781,-87.9061,6612.251509500706,8.0,9.0,17.0,5,0.7058823529411765,12,17
JAX,JACKSONVILLE INTERNATIONAL AIRPORT,JACKSONVILLE,UNITED STATES,30.4925,-81.6897,7146.847571511953,1.0,1.0,2.0,1,1.0,2,2
LGA,LA GUARDIA AIRPORT,NEW YORK,UNITED STATES,40.7794,-73.8758,5843.791502187607,4.0,1.0,5.0,3,0.8,4,5
LYS,LYON ST-EXUPERY AIRPORT,LYON,FRANCE,45.7256,5.0817,732.3191018317395,0.0,1.0,1.0,1,0.0,0,1
MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MINNEAPOLIS/ST PAUL,UNITED STATES,44.8861,-93.2178,6684.604247447254,21.0,21.0,42.0,24,0.6428571428571429,27,42
MCO,ORLANDO INTERNATIONAL AIRPORT,ORLANDO,UNITED STATES,28.4319,-81.3247,7292.3882862458895,8.0,9.0,17.0,6,0.7647058823529411,13,17
SYD,KINGSFORD SMITH AIRPORT,SYDNEY,AUSTRALIA,-33.9442,151.1758,16658.18134133557,0.0,1.0,1.0,1,0.0,0,1
SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,1.3581,103.9106,10507.336251606346,2.0,2.0,4.0,4,0.0,0,4
KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,2.7433,101.6933,10235.448590261216,1.0,1.0,2.0,2,0.0,0,2
MNL,NINOY AQUINO INTERNATIONAL AIRPORT,MANILA,PHILIPPINES,14.51,121.0183,10412.611461014716,0.0,1.0,1.0,1,1.0,1,1
EWR,NEWARK LIBERTY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,40.6958,-74.1717,5868.699518300798,2.0,2.0,4.0,2,1.0,4,4
BNA,NASHVILLE INTERNATIONAL AIRPORT,NASHVILLE,UNITED STATES,36.1267,-86.6819,7004.939742547369,2.0,2.0,4.0,2,0.0,0,4
PHL,PHILADELPHIA INTERNATIONAL AIRPORT,PHILADELPHIA,UNITED STATES,39.8717,-75.2422,5997.4230527876825,2.0,1.0,3.0,2,0.6666666666666666,2,3
PDX,PORTLAND INTERNATIONAL AIRPORT,PORTLAND,UNITED STATES,45.5892,-122.595,8028.852517042658,7.0,6.0,13.0,4,0.46153846153846156,6,13
MDW,MIDWAY INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,41.785,-87.7519,6618.345191823605,1.0,2.0,3.0,2,0.0,0,3
YYZ,LESTER B.PEARSON INTERNATIONAL AIRPORT,TORONTO,CANADA,43.6833,-79.6333,5989.657571198331,1.0,0.0,1.0,1,0.0,0,1
RDU,RALEIGH/DURHAM INTERNATIONAL AIRPORT,RALEIGH/DURHAM,UNITED STATES,35.8753,-78.7819,6528.179777108898,3.0,3.0,6.0,3,0.6666666666666666,4,6
HSV,INTERNATIONAL-CARL T. JONES FIELD,HUNTSVILLE,UNITED STATES,34.6428,-86.7756,7131.320233531515,1.0,1.0,2.0,1,1.0,2,2
RUN,ROLAND GARROS AIRPORT,SAINT DENIS DE LA REUNION,REUNION,-20.8772,55.5214,9501.014292019492,2.0,2.0,4.0,4,0.0,0,4
DEN,DENVER INTERNATIONAL AIRPORT,DENVER,UNITED STATES,39.8547,-104.7181,7725.820911738475,6.0,4.0,10.0,4,0.6,6,10
AUA,REINA BEATRIX AIRPORT,ARUBA,ARUBA,12.5022,-70.0139,7878.549264779629,1.0,1.0,2.0,2,0.0,0,2
TNR,IVATO INTERNATIONAL AIRPORT,ANTANANARIVO,MADAGASCAR,-18.8,47.4833,8917.60576912012,0.0,1.0,1.0,1,0.0,0,1
IAD,DULLES INTERNATIONAL AIRPORT,WASHINGTON,UNITED STATES,38.95,-77.45,6206.599624916693,1.0,2.0,3.0,2,0.3333333333333333,1,3
SGF,SPRINGFIELD-BRANSON NATIONAL AIRPORT,SPRINGFIELD,UNITED STATES,37.24,-93.385,7317.24261162539,1.0,0.0,1.0,1,1.0,1,1
DCA,RONALD REAGAN NATIONAL AIRPORT,WASHINGTON,UNITED STATES,38.8517,-77.0369,6187.848241737567,3.0,3.0,6.0,2,0.6666666666666666,4,6
RNO,RENO/TAHOE INTERNATIONAL AIRPORT,RENO,UNITED STATES,39.4978,-119.7675,8490.707567080408,1.0,1.0,2.0,1,1.0,2,2
MSY,LOUIS ARMSTRONG INTERNATIONAL AIRPORT,NEW ORLEANS,UNITED STATES,29.9911,-90.2514,7734.792803406867,8.0,7.0,15.0,4,0.4666666666666667,7,15
