airport_code,airport_name,city,country,latitude,longitude,distance_from_ams,klm_departures,klm_arrivals,klm_total_flights,route_diversity,delay_rate,delay_count,total_tracked_flights,schiphol_flight_count,hub_potential_score,flight_volume_score,diversity_score,reliability_score,distance_score,geographic_score
JAX,JACKSONVILLE INTERNATIONAL AIRPORT,JACKSONVILLE,UNITED STATES,30.4925,-81.6897,7146.847571511953,0.0,0.0,0.0,0,0.0,0,0,0.0,0.15800250282419598,0.0,0.0,0.1,0.29001251412097984,0.05800250282419597
PBI,PALM BEACH INTERNATIONAL AIRPORT,WEST PALM BEACH,UNITED STATES,26.6822,-80.0942,7356.184208333359,0.0,0.0,0.0,0,0.0,0,0,0.0,0.14892658021654992,0.0,0.0,0.1,0.24463290108274954,0.048926580216549914
BUR,BOB HOPE AIRPORT,BURBANK,UNITED STATES,34.2,-118.3578,8929.316216864647,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10959313339141614,0.0,0.0,0.1,0.04796566695708071,0.009593133391416143
CDG,CHARLES DE GAULLE AIRPORT,PARIS,FRANCE,49.0097,2.5486,398.71343363011994,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,,,,0.19766964197029538,
MRS,PROVENCE AIRPORT,MARSEILLE,FRANCE,43.4356,5.2164,987.1618080431457,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,,,,0.32153488108635647,
RNO,RENO/TAHOE INTERNATIONAL AIRPORT,RENO,UNITED STATES,39.4978,-119.7675,8490.707567080408,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1160789435170903,0.0,0.0,0.1,0.08039471758545151,0.016078943517090303
RUN,ROLAND GARROS AIRPORT,SAINT DENIS DE LA REUNION,REUNION,-20.8772,55.5214,9501.014292019492,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10455248203497394,0.0,0.0,0.1,0.022762410174869657,0.004552482034973932
LAS,HARRY REID INTL,LAS VEGAS,UNITED STATES,36.08,-115.1522,8597.378787137604,0.0,0.0,0.0,0,0.0,0,0,0.0,0.114243930732731,0.0,0.0,0.1,0.07121965366365493,0.014243930732730987
MDW,MIDWAY INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,41.785,-87.7519,6618.345191823605,0.0,0.0,0.0,0,0.0,0,0,0.0,0.18488954353538278,0.0,0.0,0.1,0.4244477176769139,0.08488954353538279
IAD,DULLES INTERNATIONAL AIRPORT,WASHINGTON,UNITED STATES,38.95,-77.45,6206.599624916693,0.0,0.0,0.0,0,0.0,0,0,0.0,0.20881858397861933,0.0,0.0,0.1,0.5440929198930966,0.10881858397861932
AUS,AUSTIN-BERGSTROM INTERNATIONAL AIRPORT,AUSTIN,UNITED STATES,30.2,-97.6667,8171.212301669335,0.0,0.0,0.0,0,0.0,0,0,0.0,0.12272443684250002,0.0,0.0,0.1,0.11362218421250006,0.022724436842500015
SAV,HILTON HEAD INTERNATIONAL AIRPORT,SAVANNAH,UNITED STATES,32.1272,-81.1994,6982.088958189783,0.0,0.0,0.0,0,0.0,0,0,0.0,0.16580596891614113,0.0,0.0,0.1,0.3290298445807057,0.06580596891614114
FCA,GLACIER PARK INTERNATIONAL AIRPORT,KALISPELL,UNITED STATES,48.3128,-114.2511,7429.611992303304,0.0,0.0,0.0,0,0.0,0,0,0.0,0.14597223210506285,0.0,0.0,0.1,0.22986116052531425,0.04597223210506285
ROA,ROANOKE REGIONAL (WOODRUM FLD) AIRPORT,ROANOKE,UNITED STATES,37.3247,-79.9764,6491.20316343827,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1920706038944208,0.0,0.0,0.1,0.4603530194721039,0.09207060389442079
CLE,HOPKINS INTERNATIONAL AIRPORT,CLEVELAND,UNITED STATES,41.4119,-81.8481,6293.552205954459,0.0,0.0,0.0,0,0.0,0,0,0.0,0.20362407130787097,0.0,0.0,0.1,0.5181203565393547,0.10362407130787095
DZA,PAMANDZI INTERNATIONAL AIRPORT,DZAOUDZI,MAYOTTE,-12.7833,45.2833,8211.403896704729,0.0,0.0,0.0,0,0.0,0,0,0.0,0.12178729537394672,0.0,0.0,0.1,0.1089364768697336,0.02178729537394672
PHX,SKY HARBOR INTERNATIONAL AIRPORT,PHOENIX,UNITED STATES,33.4353,-112.0119,8684.902091223319,0.0,0.0,0.0,0,0.0,0,0,0.0,0.11286845433370543,0.0,0.0,0.1,0.06434227166852709,0.012868454333705419
DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,6323.122112788339,0.0,0.0,0.0,0,0.0,0,0,1.0,0.2018707978571438,0.0,0.0,0.1,0.509353989285719,0.1018707978571438
HOU,HOBBY AIRPORT,HOUSTON,UNITED STATES,29.645,-95.2786,8075.022783340951,0.0,0.0,0.0,0,0.0,0,0,0.0,0.12509305290047787,0.0,0.0,0.1,0.12546526450238926,0.025093052900477853
FAI,FAIRBANKS INTERNATIONAL AIRPORT,FAIRBANKS,UNITED STATES,64.8144,-147.8628,6781.352384689274,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1760451490671,0.0,0.0,0.1,0.3802257453355,0.07604514906710001
DEN,DENVER INTERNATIONAL AIRPORT,DENVER,UNITED STATES,39.8547,-104.7181,7725.820911738475,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1352723610177844,0.0,0.0,0.1,0.17636180508892188,0.03527236101778438
PNS,PENSACOLA INTERNATIONAL AIRPORT,PENSACOLA,UNITED STATES,30.4725,-87.1883,7501.387541242672,0.0,0.0,0.0,0,0.0,0,0,0.0,0.14320054138802996,0.0,0.0,0.1,0.21600270694014975,0.04320054138802995
BON,FLAMINGO INTERNATIONAL AIRPORT,BONAIRE,BONAIRE ST EUSTATIUS SABA,12.1342,-68.2733,7792.683535292856,1.0,1.0,2.0,2,0.0,0,2,0.0,0.3664574400430143,0.13333333333333333,0.09999999999999999,0.1,0.16562053354840456,0.03312410670968091
DCA,RONALD REAGAN NATIONAL AIRPORT,WASHINGTON,UNITED STATES,38.8517,-77.0369,6187.848241737567,0.0,0.0,0.0,0,0.0,0,0,0.0,0.20994523469852622,0.0,0.0,0.1,0.5497261734926311,0.10994523469852623
BDL,BRADLEY INTERNATIONAL AIRPORT,HARTFORD,UNITED STATES,41.9386,-72.6833,5684.423882443869,0.0,0.0,0.0,0,0.0,0,0,0.0,0.2402823096320903,0.0,0.0,0.1,0.7014115481604515,0.1402823096320903
PDX,PORTLAND INTERNATIONAL AIRPORT,PORTLAND,UNITED STATES,45.5892,-122.595,8028.852517042658,0.0,0.0,0.0,0,0.0,0,0,0.0,0.12629452627345816,0.0,0.0,0.1,0.13147263136729084,0.02629452627345817
BOS,EDWARD L. LOGAN INTERNATIONAL AIRPORT,BOSTON,UNITED STATES,42.365,-71.0053,5547.597657404642,0.0,0.0,0.0,0,0.0,0,0,1.0,0.24825519106754673,0.0,0.0,0.1,0.7412759553377336,0.14825519106754673
EZE,MINISTRO PISTARINI AIRPORT,BUENOS AIRES,ARGENTINA,-34.82,-58.5339,11462.074042372904,1.0,1.0,2.0,2,0.0,0,2,0.0,0.33352309217636805,0.13333333333333333,0.09999999999999999,0.1,0.000948794215173482,0.0001897588430346964
SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SALT LAKE CITY,UNITED STATES,40.7842,-111.9669,8008.629932760667,0.0,0.0,0.0,0,0.0,0,0,0.0,0.12683422498126873,0.0,0.0,0.1,0.13417112490634367,0.026834224981268737
GEG,SPOKANE INTERNATIONAL AIRPORT,SPOKANE,UNITED STATES,47.6169,-117.5372,7632.3131311300185,0.0,0.0,0.0,0,0.0,0,0,0.0,0.13844024782822625,0.0,0.0,0.1,0.1922012391411312,0.03844024782822625
MSY,LOUIS ARMSTRONG INTERNATIONAL AIRPORT,NEW ORLEANS,UNITED STATES,29.9911,-90.2514,7734.792803406867,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1349784691831231,0.0,0.0,0.1,0.1748923459156154,0.03497846918312308
STL,LAMBERT-ST. LOUIS INTERNATIONAL AIRPORT,SAINT LOUIS,UNITED STATES,38.7472,-90.3644,7015.142905269958,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1641953978885848,0.0,0.0,0.1,0.320976989442924,0.0641953978885848
SYD,KINGSFORD SMITH AIRPORT,SYDNEY,AUSTRALIA,-33.9442,151.1758,16658.18134133557,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10000000040057012,0.0,0.0,0.1,2.0028506248261086e-09,4.0057012496522174e-10
LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,33.9422,-118.4072,8956.179081694592,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10927992514338188,0.0,0.0,0.1,0.04639962571690933,0.009279925143381867
CHS,CHARLESTON INTERNATIONAL AIRFORCE BASE,CHARLESTON,UNITED STATES,32.8992,-80.0389,6844.896934407131,0.0,0.0,0.0,0,0.0,0,0,0.0,0.172721534099407,0.0,0.0,0.1,0.36360767049703496,0.072721534099407
FAT,YOSEMITE INTERNATIONAL AIRPORT,FRESNO,UNITED STATES,36.7711,-119.7136,8747.975802849456,0.0,0.0,0.0,0,0.0,0,0,0.0,0.11194613850490623,0.0,0.0,0.1,0.05973069252453115,0.01194613850490623
JFK,JOHN F. KENNEDY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,40.6386,-73.7769,5847.771260185523,0.0,0.0,0.0,0,0.0,0,0,0.0,0.23052111804915443,0.0,0.0,0.1,0.6526055902457721,0.13052111804915442
SJC,SAN JOSE INTERNATIONAL AIRPORT,SAN JOSE,UNITED STATES,37.3611,-121.9256,8790.870640801586,0.0,0.0,0.0,0,0.0,0,0,0.0,0.11135050435423043,0.0,0.0,0.1,0.05675252177115207,0.011350504354230415
OMA,EPPLEY AIRFIELD,OMAHA,UNITED STATES,41.3025,-95.8942,7123.998996538575,0.0,0.0,0.0,0,0.0,0,0,0.0,0.15905068543322534,0.0,0.0,0.1,0.2952534271661267,0.059050685433225336
SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,37.6194,-122.3728,8785.608155747957,0.0,0.0,0.0,0,0.0,0,0,0.0,0.11142223265434838,0.0,0.0,0.1,0.05711116327174187,0.011422232654348375
BUF,BUFFALO NIAGARA INTERNATIONAL AIRPORT,BUFFALO,UNITED STATES,42.9411,-78.7364,5989.350415809382,0.0,0.0,0.0,0,0.0,0,0,0.0,0.2219520557621339,0.0,0.0,0.1,0.6097602788106694,0.12195205576213389
PHL,PHILADELPHIA INTERNATIONAL AIRPORT,PHILADELPHIA,UNITED STATES,39.8717,-75.2422,5997.4230527876825,0.0,0.0,0.0,0,0.0,0,0,0.0,0.2214624316052776,0.0,0.0,0.1,0.6073121580263879,0.12146243160527759
CLT,DOUGLAS INTERNATIONAL AIRPORT,CHARLOTTE,UNITED STATES,35.2192,-80.9358,6717.42704380742,0.0,0.0,0.0,0,0.0,0,0,0.0,0.17946098521949097,0.0,0.0,0.1,0.3973049260974548,0.07946098521949096
ORD,O HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,41.9781,-87.9061,6612.251509500706,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1852284350554331,0.0,0.0,0.1,0.42614217527716547,0.0852284350554331
MKE,GENERAL MITCHELL INTERNATIONAL AIRPORT,MILWAUKEE,UNITED STATES,42.9503,-87.8972,6535.782993241053,0.0,0.0,0.0,0,0.0,0,0,0.0,0.18952724057578274,0.0,0.0,0.1,0.44763620287891365,0.08952724057578273
SNA,JOHN WAYNE AIRPORT,SANTA ANA,UNITED STATES,33.6756,-117.8669,8955.515499443265,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10928755779955557,0.0,0.0,0.1,0.04643778899777783,0.009287557799555568
IAH,GEORGE BUSH INTERCONTINENTAL AIRPORT,HOUSTON,UNITED STATES,29.9833,-95.34,8049.584120149938,0.0,0.0,0.0,0,0.0,0,0,0.0,0.12574977587727493,0.0,0.0,0.1,0.12874887938637455,0.02574977587727491
LWS,NEZ PERCE COUNTY AIRPORT,LEWISTON,UNITED STATES,46.3747,-117.0144,7725.219025492354,0.0,0.0,0.0,0,0.0,0,0,0.0,0.13529213971078408,0.0,0.0,0.1,0.17646069855392038,0.03529213971078408
MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MINNEAPOLIS/ST PAUL,UNITED STATES,44.8861,-93.2178,6684.604247447254,0.0,0.0,0.0,0,0.0,0,0,1.0,0.1812417981990082,0.0,0.0,0.1,0.40620899099504093,0.08124179819900819
LYS,LYON ST-EXUPERY AIRPORT,LYON,FRANCE,45.7256,5.0817,732.3191018317395,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,,,,0.2632325790695679,
MCI,KANSAS CITY INTERNATIONAL AIRPORT,KANSAS CITY,UNITED STATES,39.2928,-94.7267,7224.508433343473,0.0,0.0,0.0,0,0.0,0,0,0.0,0.15452370367658033,0.0,0.0,0.1,0.27261851838290163,0.054523703676580326
HSV,INTERNATIONAL-CARL T. JONES FIELD,HUNTSVILLE,UNITED STATES,34.6428,-86.7756,7131.320233531515,0.0,0.0,0.0,0,0.0,0,0,0.0,0.158713610532748,0.0,0.0,0.1,0.29356805266373986,0.05871361053274798
EYW,KEY WEST INTERNATIONAL AIRPORT,KEY WEST,UNITED STATES,24.5561,-81.7597,7643.983950042294,0.0,0.0,0.0,0,0.0,0,0,0.0,0.13803436100131858,0.0,0.0,0.1,0.19017180500659286,0.03803436100131857
BNA,NASHVILLE INTERNATIONAL AIRPORT,NASHVILLE,UNITED STATES,36.1267,-86.6819,7004.939742547369,0.0,0.0,0.0,0,0.0,0,0,0.0,0.16469018627186033,0.0,0.0,0.1,0.32345093135930164,0.06469018627186034
MIA,MIAMI INTERNATIONAL AIRPORT,MIAMI,UNITED STATES,25.7925,-80.2861,7442.872409927397,0.0,0.0,0.0,0,0.0,0,0,0.0,0.145451510876041,0.0,0.0,0.1,0.22725755438020498,0.045451510876041
OGG,KAHULUI AIRPORT,KAHULUI,UNITED STATES,20.9006,-156.4336,11672.822728160456,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10012736367390657,0.0,0.0,0.1,0.0006368183695328377,0.00012736367390656756
YYZ,LESTER B.PEARSON INTERNATIONAL AIRPORT,TORONTO,CANADA,43.6833,-79.6333,5989.657571198331,0.0,0.0,0.0,0,0.0,0,0,1.0,0.2219334263600919,0.0,0.0,0.1,0.6096671318004594,0.12193342636009188
LHR,HEATHROW AIRPORT,LONDON,UNITED KINGDOM,51.4714,-0.4528,370.08938865395686,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,,,,0.19262087874486392,
SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,1.3581,103.9106,10507.336251606346,1.0,1.0,2.0,2,0.0,0,2,0.0,0.3343384857919424,0.13333333333333333,0.09999999999999999,0.1,0.005025762293045362,0.0010051524586090724
PSP,PALM SPRINGS INTERNATIONAL AIRPORT,PALM SPRINGS,UNITED STATES,33.8267,-116.505,8874.940734062156,0.0,0.0,0.0,0,0.0,0,0,0.0,0.11025419070678533,0.0,0.0,0.1,0.051270953533926564,0.010254190706785314
MNL,NINOY AQUINO INTERNATIONAL AIRPORT,MANILA,PHILIPPINES,14.51,121.0183,10412.611461014716,0.0,1.0,1.0,1,1.0,1,1,0.0,0.11783797241157014,0.06666666666666667,0.049999999999999996,0.0,0.005856528724517341,0.0011713057449034682
ORY,ORLY AIRPORT,PARIS,FRANCE,48.7289,2.3572,432.91301638955565,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,,,,0.2038208833580403,
CAE,COLUMBIA METROPOLITAN AIRPORT,COLUMBIA,UNITED STATES,33.9364,-81.1158,6831.107605070806,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1734364996612615,0.0,0.0,0.1,0.3671824983063076,0.07343649966126152
MEM,MEMPHIS INTERNATIONAL AIRPORT,MEMPHIS,UNITED STATES,35.0497,-89.9789,7295.003770278808,0.0,0.0,0.0,0,0.0,0,0,0.0,0.15147962692842587,0.0,0.0,0.1,0.25739813464212924,0.05147962692842585
TNR,IVATO INTERNATIONAL AIRPORT,ANTANANARIVO,MADAGASCAR,-18.8,47.4833,8917.60576912012,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10973241000871005,0.0,0.0,0.1,0.04866205004355023,0.009732410008710047
KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,2.7433,101.6933,10235.448590261216,1.0,1.0,2.0,2,0.0,0,2,1.0,0.3348832714049298,0.13333333333333333,0.09999999999999999,0.1,0.007749690357982061,0.0015499380715964122
PIT,PITTSBURGH INTERNATIONAL AIRPORT,PITTSBURGH,UNITED STATES,40.4967,-80.2358,6263.896445633839,0.0,0.0,0.0,0,0.0,0,0,0.0,0.20538960184081,0.0,0.0,0.1,0.5269480092040499,0.10538960184080999
SAT,SAN ANTONIO INTERNATIONAL AIRPORT,SAN ANTONIO,UNITED STATES,29.5383,-98.4719,8277.083763074786,0.0,0.0,0.0,0,0.0,0,0,0.0,0.12032063103303203,0.0,0.0,0.1,0.10160315516516011,0.020320631033032024
SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,47.4472,-122.3056,7840.240090199474,0.0,0.0,0.0,0,0.0,0,0,0.0,0.13165470746974242,0.0,0.0,0.1,0.1582735373487121,0.03165470746974242
ONT,ONTARIO INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,34.0572,-117.6081,8906.852463716676,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10986178541666237,0.0,0.0,0.1,0.04930892708331186,0.009861785416662373
NBO,JOMO KENYATTA INTERNATIONAL AIRPORT,NAIROBI,KENYA,-1.3167,36.9308,6677.110885446875,0.0,0.0,0.0,0,0.0,0,0,0.0,0.18165083369234006,0.0,0.0,0.1,0.4082541684617002,0.08165083369234005
DAB,DAYTONA BEACH INTERNATIONAL AIRPORT,DAYTONA BEACH,UNITED STATES,29.1825,-81.0528,7212.763673774548,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1550414239022429,0.0,0.0,0.1,0.27520711951121446,0.0550414239022429
LGA,LA GUARDIA AIRPORT,NEW YORK,UNITED STATES,40.7794,-73.8758,5843.791502187607,0.0,0.0,0.0,0,0.0,0,0,0.0,0.2307610325830577,0.0,0.0,0.1,0.6538051629152885,0.13076103258305768
AVL,ASHEVILLE REGIONAL AIRPORT,ASHEVILLE/HENDERSONV.,UNITED STATES,35.435,-82.5411,6802.09065995673,0.0,0.0,0.0,0,0.0,0,0,0.0,0.17495240845743776,0.0,0.0,0.1,0.3747620422871888,0.07495240845743777
GNV,GAINESVILLE REGIONAL AIRPORT,GAINESVILLE,UNITED STATES,29.6897,-82.2758,7250.772582929781,0.0,0.0,0.0,0,0.0,0,0,0.0,0.15337684663391538,0.0,0.0,0.1,0.2668842331695768,0.05337684663391537
EWR,NEWARK LIBERTY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,40.6958,-74.1717,5868.699518300798,0.0,0.0,0.0,0,0.0,0,0,0.0,0.22925828738111567,0.0,0.0,0.1,0.6462914369055783,0.12925828738111567
YVR,VANCOUVER INTERNATIONAL AIRPORT,VANCOUVER,CANADA,49.1872,-123.1853,7708.1419951444195,0.0,0.0,0.0,0,0.0,0,0,0.0,0.13585660301228425,0.0,0.0,0.1,0.17928301506142114,0.03585660301228423
DPS,NGURAH RAI AIRPORT,DENPASAR-BALI,INDONESIA,-8.7486,115.165,12156.691556894775,0.0,1.0,1.0,1,0.0,0,1,0.0,0.21671555899509123,0.06666666666666667,0.049999999999999996,0.1,0.0002444616421228684,4.889232842457368e-05
LIT,LITTLE ROCK CLINTON NATIONAL AIRPORT,LITTLE ROCK,UNITED STATES,34.7292,-92.2344,7458.248810960688,0.0,0.0,0.0,0,0.0,0,0,0.0,0.14485260914522702,0.0,0.0,0.1,0.22426304572613506,0.04485260914522701
FLL,FORT LAUDERDALE INTERNATIONAL AIRPORT,FORT LAUDERDALE,UNITED STATES,26.0742,-80.1517,7410.508253803893,0.0,0.0,0.0,0,0.0,0,0,0.0,0.14672930798885517,0.0,0.0,0.1,0.23364653994427576,0.046729307988855155
ORF,NORFOLK INTERNATIONAL AIRPORT,NORFOLK,UNITED STATES,36.8958,-76.2014,6283.405975649079,0.0,0.0,0.0,0,0.0,0,0,0.0,0.20422734368988396,0.0,0.0,0.1,0.5211367184494198,0.10422734368988396
SMF,SACRAMENTO INTERNATIONAL AIRPORT,SACRAMENTO,UNITED STATES,38.6956,-121.5983,8648.115185561806,0.0,0.0,0.0,0,0.0,0,0,0.0,0.11343274683313159,0.0,0.0,0.1,0.06716373416565795,0.01343274683313159
BOI,BOISE AIR TERMINAL (GOWEN FIELD),BOISE,UNITED STATES,43.5653,-116.225,7950.9554552814225,0.0,0.0,0.0,0,0.0,0,0,0.0,0.12841909391881953,0.0,0.0,0.1,0.1420954695940976,0.028419093918819523
RDU,RALEIGH/DURHAM INTERNATIONAL AIRPORT,RALEIGH/DURHAM,UNITED STATES,35.8753,-78.7819,6528.179777108898,0.0,0.0,0.0,0,0.0,0,0,0.0,0.18995915584488032,0.0,0.0,0.1,0.4497957792244015,0.0899591558448803
CGK,SOEKARNO-HATTA INTERNATIONAL AIRPORT,JAKARTA,INDONESIA,-6.1167,106.65,11352.164047174356,0.0,1.0,1.0,1,0.0,0,1,1.0,0.21689925803349996,0.06666666666666667,0.049999999999999996,0.1,0.001162956834166458,0.00023259136683329162
RSW,SOUTHWEST FLORIDA INTERNATIONAL AIRPORT,FORT MYERS,UNITED STATES,26.5333,-81.75,7477.839663053131,0.0,0.0,0.0,0,0.0,0,0,0.0,0.14409719946802224,0.0,0.0,0.1,0.22048599734011112,0.04409719946802223
PPT,FAAA INTERNATIONAL AIRPORT,TAHITI,FRENCH POLYNESIA,-17.5472,-149.6139,15549.351600781783,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10000001147748884,0.0,0.0,0.1,5.7387444194182765e-08,1.1477488838836554e-08
BKK,SUVARNABHUMI INTERNATIONAL AIRPORT,BANGKOK,THAILAND,13.6858,100.7489,9207.006579702922,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10674770654753918,0.0,0.0,0.1,0.03373853273769585,0.00674770654753917
MCO,ORLANDO INTERNATIONAL AIRPORT,ORLANDO,UNITED STATES,28.4319,-81.3247,7292.3882862458895,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1515906156201957,0.0,0.0,0.1,0.25795307810097845,0.05159061562019569
BTR,RYAN AIRPORT,BATON ROUGE,UNITED STATES,30.5317,-91.1506,7745.152679938177,0.0,0.0,0.0,0,0.0,0,0,0.0,0.13464128892114655,0.0,0.0,0.1,0.17320644460573273,0.03464128892114655
MFR,ROGUE VALLEY INTERNATIONAL AIRPORT,MEDFORD,UNITED STATES,42.3736,-122.8722,8348.55520036929,0.0,0.0,0.0,0,0.0,0,0,0.0,0.11881352122113485,0.0,0.0,0.1,0.09406760610567422,0.018813521221134846
LEX,BLUE GRASS AIRPORT,LEXINGTON,UNITED STATES,38.0397,-84.6022,6723.781569565751,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1791182929565732,0.0,0.0,0.1,0.3955914647828659,0.07911829295657319
SAN,SAN DIEGO INTERNATIONAL AIRPORT,SAN DIEGO,UNITED STATES,32.7328,-117.1872,9011.722138043095,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10865941802732831,0.0,0.0,0.1,0.04329709013664152,0.008659418027328305
TUS,TUCSON INTERNATIONAL AIRPORT,TUCSON,UNITED STATES,32.125,-110.9492,8750.018046460778,0.0,0.0,0.0,0,0.0,0,0,0.0,0.11191720836134852,0.0,0.0,0.1,0.05958604180674262,0.011917208361348526
MLB,MELBOURNE INTERNATIONAL AIRPORT,MELBOURNE,UNITED STATES,28.1025,-80.6303,7274.00938893571,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1523747802061988,0.0,0.0,0.1,0.2618739010309939,0.05237478020619878
GRR,GERALD R. FORD INTERNATIONAL AIRPORT,GRAND RAPIDS,UNITED STATES,42.8811,-85.5242,6402.1275171346015,0.0,0.0,0.0,0,0.0,0,0,0.0,0.19722620661196405,0.0,0.0,0.1,0.4861310330598202,0.09722620661196404
AUA,REINA BEATRIX AIRPORT,ARUBA,ARUBA,12.5022,-70.0139,7878.549264779629,1.0,1.0,2.0,2,0.0,0,2,0.0,0.36383936173610953,0.13333333333333333,0.09999999999999999,0.1,0.15253014201388074,0.03050602840277615
AMS,SCHIPHOL AIRPORT,AMSTERDAM,NETHERLANDS,52.3083,4.7681,0.0,5.0,1.0,6.0,6,0.16666666666666666,1,6,0.0,0.0,,,,0.1353352832366127,
ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,7065.687978049081,0.0,0.0,0.0,0,0.0,0,0,1.0,0.16177581959468776,0.0,0.0,0.1,0.3088790979734387,0.061775819594687746
TPA,TAMPA INTERNATIONAL AIRPORT,TAMPA,UNITED STATES,27.9731,-82.5353,7409.569093447613,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1467667364768927,0.0,0.0,0.1,0.23383368238446348,0.046766736476892695
GSO,PIEDMONT TRIAD INTERNATIONAL AIRPORT,GREENSBORO/HIGH POINT,UNITED STATES,36.0919,-79.9428,6585.355544933463,0.0,0.0,0.0,0,0.0,0,0,0.0,0.18673083349117808,0.0,0.0,0.1,0.4336541674558903,0.08673083349117806
SCL,ARTURO MERINO BENITEZ AIRPORT,SANTIAGO,CHILE,-33.3833,-70.7833,12002.427312038586,0.0,1.0,1.0,1,0.0,0,1,0.0,0.21673343422340363,0.06666666666666667,0.049999999999999996,0.1,0.00033383778368477237,6.676755673695448e-05
DFW,DALLAS/FT. WORTH INTERNATIONAL AIRPORT,DALLAS,UNITED STATES,32.8944,-97.0297,7900.097722008889,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1298735085620314,0.0,0.0,0.1,0.14936754281015688,0.029873508562031376
DAL,LOVE FIELD,DALLAS,UNITED STATES,32.8469,-96.8533,7893.755923243684,0.0,0.0,0.0,0,0.0,0,0,0.0,0.13005864984029636,0.0,0.0,0.1,0.1502932492014817,0.030058649840296343
CAN,BAIYUN INTERNATIONAL AIRPORT,GUANGZHOU,CHINA,23.1833,113.2661,9156.41336480229,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10720476431755198,0.0,0.0,0.1,0.036023821587759866,0.007204764317551973
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,CHINESE TAIPEI,25.0711,121.5436,9460.092056892081,1.0,1.0,2.0,2,1.0,2,2,0.0,0.2381483605987378,0.13333333333333333,0.09999999999999999,0.0,0.02407513632702232,0.004815027265404464
ANC,ANCHORAGE TED STEVENS INTERNATIONAL,ANCHORAGE,UNITED STATES,61.1692,-149.9853,7200.001593823132,0.0,0.0,0.0,0,0.0,0,0,0.0,0.15560738918790143,0.0,0.0,0.1,0.27803694593950706,0.05560738918790142
SGF,SPRINGFIELD-BRANSON NATIONAL AIRPORT,SPRINGFIELD,UNITED STATES,37.24,-93.385,7317.24261162539,0.0,0.0,0.0,0,0.0,0,0,0.0,0.15054201893846036,0.0,0.0,0.1,0.25271009469230177,0.05054201893846036
VPS,FT. WALTON BEACH AIRPORT,DESTIN/FT WALTON BEACH,UNITED STATES,30.4894,-86.5272,7458.000549174578,0.0,0.0,0.0,0,0.0,0,0,0.0,0.14486223689624428,0.0,0.0,0.1,0.22431118448122134,0.04486223689624427
